track,artist,danceability,energy,valence,tempo,previously_heard,liked
Love Yourself,Justin Bieber,0.8029999999999999,0.3670000000000001,0.539,100.171,Haven't Heard,Like
Everybody Dies In Their Nightmares,XXXTENTACION,0.7340000000000001,0.57,0.6890000000000001,129.953,Haven't Heard,Like
Baby,Lil Baby & DaBaby,0.8759999999999999,0.662,0.8440000000000001,75.445,Heard,Like
Never Gonna Leave This Bed,Maroon 5,0.609,0.81,0.47,117.36399999999999,Heard,Like
All Gold Everything,Trinidad James,0.516,0.755,0.633,99.742,Heard,Like
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,0.51,0.846,0.475,139.92700000000002,Haven't Heard,Dislike
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,0.59,0.82,0.585,127.999,Heard,Like
Heart Attack,Trey Songz,0.608,0.863,0.47600000000000003,150.029,Haven't Heard,Dislike
Ophelia,The Lumineers,0.664,0.573,0.5660000000000001,76.023,Haven't Heard,Like
Lettin' The Night Roll,Justin Moore,0.542,0.8590000000000001,0.637,140.9,Haven't Heard,Dislike
This Is America,Childish Gambino,0.8540000000000001,0.46299999999999997,0.5489999999999999,120.024,Haven't Heard,Like
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,0.5579999999999999,0.924,0.5670000000000001,151.99,Haven't Heard,Like
Freak The Freak Out,Victorious Cast Featuring Victoria Justice,0.6890000000000001,0.858,0.51,140.02200000000002,Haven't Heard,Like
Alone,Marshmello,0.631,0.953,0.42200000000000004,141.99,Haven't Heard,Dislike
American Country Love Song,Jake Owen,0.529,0.8909999999999999,0.32899999999999996,104.031,Heard,Dislike
Sick Boy,The Chainsmokers,0.6629999999999999,0.5770000000000001,0.45399999999999996,89.99600000000002,Haven't Heard,Like
If I Didn't Have You,Thompson Square,0.5489999999999999,0.805,0.53,147.91,Haven't Heard,Like
Can't Remember To Forget You,Shakira Featuring Rihanna,0.6940000000000001,0.81,0.8240000000000001,137.968,Heard,Dislike
You Was Right,Lil Uzi Vert,0.843,0.359,0.156,81.98700000000002,Heard,Like
Make Love,Gucci Mane & Nicki Minaj,0.972,0.563,0.217,129.984,Haven't Heard,Like
Alice,Avril Lavigne,0.536,0.8240000000000001,0.172,119.00399999999999,Haven't Heard,Like
The Breath You Take,George Strait,0.4920000000000001,0.38299999999999995,0.248,132.1,Haven't Heard,Dislike
What's The Move,Young Thug Featuring Lil Uzi Vert,0.961,0.43799999999999994,0.41200000000000003,124.01799999999999,Haven't Heard,Dislike
You Can't Stop The Beat,Glee Cast,0.47100000000000003,0.951,0.6459999999999999,169.986,Haven't Heard,Like
I'm Not Gonna Miss You,Glen Campbell,0.449,0.35600000000000004,0.177,126.47200000000001,Haven't Heard,Dislike
679,Fetty Wap Featuring Remy Boyz,0.618,0.7170000000000001,0.603,190.05,Haven't Heard,Like
Bad Vibes Forever,XXXTENTACION Featuring PnB Rock & Trippie Redd,0.799,0.526,0.746,129.875,Haven't Heard,Dislike
Come Wake Me Up,Rascal Flatts,0.45399999999999996,0.605,0.18,155.861,Haven't Heard,Like
Is Anybody Out There?,K'Naan Featuring Nelly Furtado,0.6409999999999999,0.87,0.42,95.01899999999999,Haven't Heard,Dislike
Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn,0.54,0.495,0.33799999999999997,70.997,Haven't Heard,Like
In The Dark,Dev,0.736,0.823,0.442,124.954,Haven't Heard,Like
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,0.445,0.631,0.152,143.846,Haven't Heard,Dislike
Alone Together,Fall Out Boy,0.552,0.915,0.606,90.01299999999998,Haven't Heard,Like
